Ngày,ID,Tên dự án,Số gói,Nhà cung cấp,Trạng thái
07/03/2026,P0097-F0366-L1448,BEVLE-ZS-匝道,12,EXP,Đã nghiệm thu
17/03/2026,G0098-F0761-L3270,BEVLE-ZS-最右侧车道-内-3,14,EXP/Chấn Thanh,Đã nghiệm thu
19/03/2026,G0099-F0887-L3895,BEVLE-ZS-隧道出入口-0319,20,EXP,Đã nghiệm thu
21/03/2026,G0227-F0956-L4196,BEVLE-ZS-隧道出入口-0321,20,EXP,Đã nghiệm thu
23/03/2026,G0242-F1005-L4419,BEVLE-ZS-隧道出入口-0323,29,EXP,Đã nghiệm thu
25/03/2026,G0243-F1104-L4874,BEVLE-ZS-过匝道-0325,30,EXP,Đã nghiệm thu
26/03/2026,G0243-F1219-L5392,BEVLE-ZS-过匝道-0326,15,EXP/Chấn Thanh,Đã nghiệm thu
26/03/2026,G0243-F1261-L5589,BEVLE-ZS-过匝道-越-0326,34,EXP,Đã nghiệm thu
27/03/2026,G0291-F1377-L6125,BEVLE-ZS-轻轨-越-0327,30,EXP,Đang nghiệm thu
30/03/2026,G0722-F1604-L7140,BEVLE-ZS-隧道-越-0330,30,EXP,Đã nghiệm thu
03/04/2026,G0900-F1904-L8457,BEVLE-ZS-高速弯道-越-0403,104,EXP,Đang nghiệm thu
03/04/2026,G0327-F1957-L8692,BEVLE-ZS-大型路口-越-0403,30,EXP,Đang nghiệm thu
07/04/2026,G0947-F2001-L8852,BEVLE-ZS-高速弯道-越-0407,90,EXP,Đang nghiệm thu
07/04/2026,G0947-F2006-L8871,BEVLE-ZS-高速弯道-越2-0407,30,EXP,Đang nghiệm thu
13/04/2026,G1095-F2363-L10334,BEVLE-ZS-高速过匝道-越-0413,28,EXP,Đang nghiệm thu
13/04/2026,G1098-F2412-L10552,BEVLE-ZS-高速弯道-越-0413,30,EXP,Đang nghiệm thu
15/04/2026,G0425-F2569-L11265,BEVLE-ZS-路口-越-0415,40,EXP,Đang gán nhãn
15/04/2026,G1212-F2589-L11346,BEVLE-ZS-高速弯道-越-0415,90,EXP,Đang nghiệm thu
18/04/2026,G1356-F2804-L12308,BEVLE-ZS-高速施工-越-0418,39,EXP,Đang nghiệm thu
18/04/2026,G1364-F2846-L12478,BEVLE-ZS-高速匝道-越-0419,52,EXP,Đang nghiệm thu
20/04/2026,G1365-F2882-L12618,BEVLE-ZS-高速弯道-越-0420,60,EXP,Đang nghiệm thu
21/04/2026,G1438-F2987-L13077,BEVLE-ZS-匝道-越-0421,60,EXP,Đang nghiệm thu
21/04/2026,G1438-F2988-L13082,BEVLE-ZS-匝道-越-0421-2,56,EXP,Đang nghiệm thu
22/04/2026,G1439-F3118-L13623,BEVLE-ZS-匝道-越-0422,59,EXP,Đang nghiệm thu
22/04/2026,G1439-F3119-L13628,BEVLE-ZS-匝道-越-0422-2,59,EXP,Đang nghiệm thu
24/04/2026,G1534-F3262-L14271,BEVLE-ZS-弯道-越-0424,60,EXP,Đang gán nhãn
28/04/2026,G1440-F3369-L14777,BEVLE-ZS-匝道-越-0427,60,EXP,Đang gán nhãn